csv_link,description,name
http://data.ok.gov/sites/default/files/res_post-tanf_employments_-_line_chart_brty-utgx.csv,"Increase the percentage of families who, after reporting employment, remain off Temporary Assistance for Needy Families (TANF) benefits for 6 consecutive months from 84.1% in 2013 to 93% by 2018.","
      Post-TANF Employments    "
http://data.ok.gov/sites/default/files/res_labor_force_participation_gzqy-je9k.csv,Increase the total labor force participation rate from 61.61% in 2013 to 64.00% by 2017.,"
      Labor Force Participation    "
http://data.ok.gov/sites/default/files/res_international_agricultural_exports_-_line_chart_tsbv-q82b.csv,Increase the 4-year moving average of total international agricultural exports from $1.67 billion in 2012 to $1.76 billion by 2018.,"
      International Agricultural Exports    "
http://data.ok.gov/sites/default/files/res_tanf_training_programs_mge5-ywwx.csv,Increase the number of TANF (Temporary Assistance for Needy Families) clients who complete career and technology programs or special projects in two-year colleges from 555 in 2014 to 700 by 2018.,"
      TANF Training Programs    "
http://data.ok.gov/sites/default/files/res_transportation_and_distribution_employment_nkpe-a4q4.csv,"Increase Transportation and Distribution employment from 122,984 in 2013 to 130,531 by 2017.","
      Transportation And Distribution Employment    "
http://data.ok.gov/sites/default/files/res_oklahoma_quality_jobs_incentive_payments_nepp-r4x3.csv,"This cash-back job creation incentive has moved the State of Oklahoma to the forefront as a location for new manufacturing and service industry investment. The innovative Oklahoma Quality Jobs Program allows qualifying businesses creating new, quality jobs to receive a special incentive to locate or expand in Oklahoma.","
      Oklahoma Quality Jobs Incentive Payments    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_-_training_for_industry_%28_tip%29_and_training_for_growth_economic_development_programs_fy2013_-_fy_2008_m4nf-qj8k.csv,State of Oklahoma - Training for Industry (TIP) and Training for Growth Economic Development Programs FY 2013 – FY 2008,"
      State Of Oklahoma - Training For Industry ( TIP) And Training For Growth Economic Development Programs FY2013 - FY 2008    "
http://data.ok.gov/sites/default/files/res_information_and_financial_services_sales_ec2s-y62x.csv,Increase Information and Financial Services sales from $26.286 billion in 2013 to $29.585 billion by 2017.,"
      Information and Financial Services Sales    "
http://data.ok.gov/sites/default/files/res_research_and_development_investments_-_line_chart_m2af-ed7a.csv,Increase the percentage of state spending on research and development investments from 0.27% in 2011 to 0.61% by 2017.,"
      Research And Development Investments    "
http://data.ok.gov/sites/default/files/res_small_business_ownership_eqjy-jjhy.csv,Increase the small business ownership rate from 1.48% in 2011 to 1.53% by 2017.,"
      Small Business Ownership    "
http://data.ok.gov/sites/default/files/res_income_poverty_rate_-_line_chart_w3qw-dt6b.csv,Decrease the state income poverty rate from 16.8% in 2013 to 15.3% by 2017.,"
      Income Poverty Rate    "
http://data.ok.gov/sites/default/files/res_state_industry_sales_xuff-ebz8.csv,Increase state industry sales from $382.19 billion in 2013 to $430.16 billion by 2017.,"
      State Industry Sales    "
http://data.ok.gov/sites/default/files/res_oklahoma_housing_finance_agency_funded_developments_-_in-service_sr6c-962g.csv,"A listing of OHFA funded multi-family developments across the state. Includes HOME, Affordable Housing Tax Credits and others.","
      Oklahoma Housing Finance Agency Funded Developments - In-Service    "
http://data.ok.gov/sites/default/files/res_aerospace_and_defense_employment_-_line_chart_trpp-z9q9.csv,"Increase Aerospace and Defense  employment from 85,218 in 2013 to 90,447 by 2017.","
      Aerospace and Defense Employment    "
http://data.ok.gov/sites/default/files/res_transportation_and_distribution_exports_-_column_chart_fgva-n9zr.csv,Increase Transportation and Distribution exports from $16.799 billion in 2013 to $18.908 billion by 2017.,"
      Transportation And Distribution Exports    "
http://data.ok.gov/sites/default/files/res_state_industry_exports_-_column_chart_pesh-wfg9.csv,Increase state industry exports from $220.05 billion in 2013 to $247.67 billion by 2017.,"
      State Industry Exports    "
