csv_link,description,name
http://data.ok.gov/sites/default/files/res_2014_state_of_oklahoma_personal_property_list_3ec6-yan8.csv,The Personal Property List contains information on all personal property owned by the State of Oklahoma as reported to the OMES.,"
      2014 State Of Oklahoma Personal Property List    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll-_q1_2014_3d3i-48ix.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll- Q1 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_oct_2011_48e7-8whj.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - Oct 2011    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_may_2014_4kpb-jjn7.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - May 2014    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_fiscal_year_2014_3pcd-aiuu.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) Fiscal Year 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_may_2015_2t3k-5iei.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds May 2015    "
http://data.ok.gov/sites/default/files/res_state-managed_buildings_energy_savings_impact_2ffz-i3xx.csv,Data reflecting the total energy saved in all state-managed buildings.,"
      State-Managed Buildings Energy Savings Impact    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2012_32vw-xhvc.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - July 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_october_2014_26pw-v57a.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds October 2014    "
http://data.ok.gov/sites/default/files/res_state_auditor_and_inspector_county_audit_reports_75md-e7ip.csv,This data set is a list of the URLs for State Auditor and Inspector County Audit Reports.,"
      State Auditor and Inspector County Audit Reports    "
