csv_link,description,name
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q4_2012_3mtv-xupu.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q4 2012    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_fiscal_year_2014_3pcd-aiuu.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) Fiscal Year 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_oct_2011_48e7-8whj.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - Oct 2011    "
http://data.ok.gov/sites/default/files/res_ap_test_fee_assistance_423b-gkvc.csv,"Increase the number of exams receiving test fee assistance for eligible low-income students taking an Advanced Placement (AP) exam from 7,168 in 2014 to NA by 2018  (Target not yet established).","
      AP Test Fee Assistance    "
http://data.ok.gov/sites/default/files/res_total_nonfarm_employment_-_line_chart_2nak-25fz.csv,Increase non-farm total employment from 1.645 million in 2013 to 1.746 million by 2017.,"
      Total Nonfarm Employment    "
http://data.ok.gov/sites/default/files/res_students_covered_under_tobacco-free_school_policy_-_column_chart_jdnk-gta6.csv,Increase the percentage of students covered under a 24/7 tobacco-free school policy from 74% in 2012 to 86% by 2018.,"
      Students Covered Under Tobacco- Free School Policy    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_government_employees_by_function_donut_chart_ad77-429e.csv,An accounting of the number of State of Oklahoma employees by function (excluding higher education) beginning with the 2003 fiscal year.,"
      State of Oklahoma Government Employees by Function    "
http://data.ok.gov/sites/default/files/res_transportation_and_distribution_sales_-_column_chart_3it3-j6td.csv,Increase Transportation and Distribution sales from $26.889 billion in 2013 to $30.264 billion by 2017.,"
      Transportation And Distribution Sales    "
http://data.ok.gov/sites/default/files/res_lane-mile_road_conditions_-_line_chart_yvvp-4z3h.csv,"Decrease the number of road lanes miles in critical or inadequate condition from 3,862 in 2013 to 3,841 by 2017.","
      Lane-Mile Road Conditions    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_site_directory_%28feb_2015%29_3iv9-8xxn.csv,Oklahoma Public School Site Directory (Feb 2015),"
      Oklahoma Public School Site Directory (Feb 2015)    "
http://data.ok.gov/sites/default/files/res_revolving_funds_february_2015_5ivn-dgzy.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds February 2015    "
http://data.ok.gov/sites/default/files/res_online_motor_vehicle_renewals_62sz-d43b.csv,"Increase the number of motor vehicle renewals processed online from 108,500 in 2014 to 180,000 by 2018.","
      Online Motor Vehicle Renewals    "
http://data.ok.gov/sites/default/files/res_average_salary_market_comparison_trend_line_chart_784c-4mpn.csv,Comparison of the average salary of State of Oklahoma employees and the market average salary beginning in fiscaly year 2005.,"
      Average Salary Market Comparison Trend    "
http://data.ok.gov/sites/default/files/res_information_and_financial_services_employment_-_line_chart_gsvg-ym5q.csv,"Increase Information and Financial Services employment from 103,830 in 2013 to 110,201 by 2017.","
      Information and Financial Services Employment    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_general_revenue_trends%2C_income_vs._expenditures_4mtp-r2wh.csv,Data showing general revenue trends for the State of Oklahoma for fiscal years 2006 to 2017. Annual revenue estimates will be updated after official release of documents from the December meeting of the State Board of Equalization. Amounts are displayed in millions,"
      State of Oklahoma General Revenue Trends, Income vs. Expenditures    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_october_2012_5rjd-trxs.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - October 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_may_2014_4kpb-jjn7.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - May 2014    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q4_2011_679u-g5er.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q4 2011    "
http://data.ok.gov/sites/default/files/res_shared_it_support_services_-_column_chart_pu3g-kerd.csv,Increase the percentage of state agencies participating in shared IT support services from 63% in 2014 to 100% by 2017.,"
      Shared IT Support Services    "
http://data.ok.gov/sites/default/files/res_state_auditor_and_inspector_county_audit_reports_75md-e7ip.csv,This data set is a list of the URLs for State Auditor and Inspector County Audit Reports.,"
      State Auditor and Inspector County Audit Reports    "
http://data.ok.gov/sites/default/files/res_online_business_filing_transactions_73k7-9q94.csv,Increase the percentage of business filing transactions processed online from 33% in 2014 to 50% by 2018.,"
      Online Business Filing Transactions    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_site_directory_2014_74d3-gjip.csv,"Oklahoma Public School Site Directory 2014, updated August 25, 2014","
      Oklahoma Public School Site Directory 2014    "
